Nombre,Marca,Categoría,Especie,Formato,Precio,Precio anterior,Descripción breve,Descripción larga,Ingredientes,Imagen,Destacado,Nuevo
Pienso Zen Grain Free Salmón Cachorro,Zen Free Grain,pienso-perros,perro,12 kg,69.90,,Alimento seco premium hipoalergénico especialmente diseñado para cachorros de todas las razas.,"Alimento seco premium hipoalergénico especialmente diseñado para cachorros de todas las razas. Formulado con salmón fresco 33% y pescado blanco deshidratado 23%, ofrece proteínas de alta calidad, fáciles de digerir y con un sabor irresistible. Su receta grain free y gluten free contiene un 85% de proteína de origen animal y un 60% de ingredientes animales, lo que favorece un desarrollo muscular óptimo, una digestión saludable y una energía equilibrada durante la etapa de crecimiento.","Salmón fresco (33%), pescado blanco deshidratado (23%), patata, tapioca, aceite de pollo, manzana, guisantes, patata dulce, hidrolizado de pescado, remolacha, algarroba, proteína de patata, linaza, calabaza, levaduras, krill, arándanos, inulina (FOS), MOS, manzanilla, jengibre, hinojo, caléndula, glucosamina (500 mg/kg), condroitina (100 mg/kg) y Yucca schidigera.",https://dapac.es/5528-large_default/Zen-Countrys-Best-Healthy-Fish-Puppy-12kg.jpg,,
Paté Zen Prescription Cerdo & Vegetales,Zen Paté,humeda-perros,perro,400 g,3.95,,Zen Paté Prescription Cerdo & Vegetales: Especialista en Recuperación Digestiva (400g).,"La receta de Cerdo Fresco & Vegetales es un alimento dietético completo de uso veterinario. Su fórmula Low Grain utiliza el arroz como fuente de energía suave, combinada con proteínas seleccionadas de cerdo para ofrecer una solución eficaz en perros con sensibilidad digestiva extrema o insuficiencia pancreática crónica.","Cerdo (47%), hígado de cerdo, arroz, pulpa de remolacha, harina de algarroba, aceite de pescado, FOS, nucleótidos, MOS, taurina y cúrcuma.",https://dapac.es/5854-large_default/ZEN-400g-CAN-PATE-INTESTINAL-FORMULA-DIETA.jpg,,
Pienso Cat#1 Tradition,CAT#1,pienso-gatos,gato,18 kg,27.90,,Alimento completo para gatos adultos de cualquier raza.,"Alimento completo para gatos adultos de cualquier raza. Receta de pollo con ternera. 100% ingredientes naturales, 44% total carne, 26% pollo","Pollo deshidratado 26%, ternera deshidratada 18%, arroz, grasa animal, maíz entero, cebada integral, algarroba, hidrolizado hígado de pollo, uva, levadura de cerveza, oligoelementos, Yucca Schidigera, antioxidantes y conservantes naturales.",https://dapac.es/3800-large_default/CAT-1-Tradition-18-kg---DIRECTO.jpg,,
Pienso Fresh Pollo y Vegetales,Fresh,pienso-gatos,gato,6 kg,23.90,,Alimento completo para gatos adultos de cualquier raza. Receta de pollo con vegetales elaborada con verdadera carne fresca.,"Alimento completo para gatos adultos de cualquier raza. Receta de pollo con vegetales elaborada con verdadera carne fresca. 100% ingredientes naturales, 55% total carne, 20% pollo fresco. Específico para el control de peso y para reducir la formación de cálculos. Formato de 6 kg. Tamaño de la croqueta: 12 mm. Este producto incluye pegatina de precio.","Carnes 30% (carne de pollo deshidratada 20%. carne de cerdo deshidratada 5%. carne de ternera y cordero deshidratadas 5%). Maíz entero. Pollo fresco 20%. Arroz integral (fuente de fibra). Harina de trigo integral (fuente de fibra). Guisantes 3%. Aceite de ave (fuente de ácidos grasos Omega 6). Gluten de maíz. Remolacha 3%. Salmón. Hidrolizado de hígado de pollo. Levaduras (fuente de MOS) 1%. Fibras vegetales (celulosa). Sustancias minerales. Zanahoria 1%. Manzana 1%. Aceite de oliva. Achicoria (fuente de FOS) 0,20%. Yucca schidigera 200 mg/kg.",https://dapac.es/3388-large_default/Adult_fit_6kg_Fresh_Cat_mediterranean_blend___CP_CP.jpg,,
Pienso Fresh Mezcla Mediterránea Esterilizado,Fresh,pienso-gatos,gato,6 kg,25.90,,Alimento completo para gatos esterilizados de cualquier raza.,"Alimento completo para gatos esterilizados de cualquier raza. Receta elaborada con 100% ingredientes naturales, 55% total carne y 20% pollo fresco. Bajo en grasas y saciante, evitando la subida de peso. Formato de 6 kg. Tamaño de la croqueta: 12 mm. ","Carnes 30% (carne de pollo deshidratada 20%. carne de cerdo deshidratada 5%. carne de ternera y cordero deshidratadas 5%). Maíz entero. Pollo fresco 20%. Arroz integral (fuente de fibra). Harina de trigo integral (fuente de fibra). Guisantes 3%. Aceite de ave (fuente de ácidos grasos Omega 6). Gluten de maíz. Remolacha 3%. Salmón. Hidrolizado de hígado de pollo. Levaduras (fuente de MOS) 1%. Fibras vegetales (celulosa). Sustancias minerales. Zanahoria 1%. Manzana 1%. Aceite de oliva. Achicoria (fuente de FOS) 0,20%. Yucca schidigera 200 mg/kg.",https://dapac.es/3389-large_default/Sterilized_Fresh_Cat_mediterranean_blend_6kg___CP_CP.jpg,,
Pienso Fresh Mezcla Mediterránea Cachorro,Fresh,pienso-gatos,gato,6 kg,26.90,,Alimento completo para gatitos pequeños de todas las razas. Receta elaborada con verdadera carne fresca con vegetales.,"Alimento completo para gatitos pequeños de todas las razas. Receta elaborada con verdadera carne fresca con vegetales. 100% ingredientes naturales. 55% total carne. 20% pollo fresco. Contiene Omega 3+6, EPA+DHA además de prebióticos. Tamaño de la croqueta: 8 mm. Formato de 6 kg.",Pollo fresco 20%. Carne de pollo deshidratada. Maíz entero. Guisantes. Harina trigo integral. Aceite de pollo (fuente de ácidos grasos Omega 6). Carne de cerdo deshidratada 8%. Arroz integral (fuente de fibra). Carne deshidratada de cordero 3%. Levaduras (fuente de MOS). Gluten de maíz. Hidrolizado de hígado de pollo. Harina de Pescado. Remolacha 1%. Manzana 1%. Zanahoria 1%. Achicoria (fuente de FOS). Aceite de oliva. Sustancias minerales. Yucca schidigera.,https://dapac.es/3521-large_default/Super_Kitten_6_kg_Fresh_Cat_mediterranean_blend____CP_CP.jpg,,
Pienso Fresh Mezcla Mediterránea SIN CEREAL,Fresh,pienso-gatos,gato,4 kg,26.90,,Alimento completo sin cereales para gatos esterilizados.,"Alimento completo sin cereales para gatos esterilizados. Elaborado con pollo fresco, tapioca e ingredientes 100% naturales. Con 82% de proteína animal, hipoalergénico, sin gluten. Nutrición ligera, sabrosa y saludable para el bienestar diario de tu gato.","Carnes deshidratadas 29% (mín. pollo 24%, mín. cerdo 1%). Pollo fresco. Patata 3%, almidón de patata 3%, remolacha, levaduras 0,57% (fuente de MOS). Aceite de pescado. Lignocelulosa. Aceite de oliva 0,1%. Zanahoria 0,1%. Achicoria 0,1% (fuente de FOS). Yucca 200 mg/kg.",https://dapac.es/4387-large_default/Fresh-Cat-Grain-Free-adult-mediterranean-blend-pollo-y-tapioca-4kg.jpg,,
Pienso Zen Cat Grain Free Pollo y Patata,Zen Free Grain,pienso-gatos,gato,8 kg,51.90,,Alimento completo para gatos en edad adulta.,Zen Cat Grain Free pollo y patata. Alimento completo para gatos en edad adulta. Sin cereales. 33% pollo fresco. Sin cereales. Formato de 8 kg.,"Pollo fresco (33%), pollo deshidratado, patata, aceites y grasas, hidrolizado de hígado de pollo, levaduras, pulpa de remolacha, guisantes,  cloruro sódico, aceite de pescado, polifosfatos de sodio, cloruro potásico, inulina (FOS), manano-oligosacáridos, (MOS), jengibre, yucca schidigera.",https://dapac.es/1297-large_default/Zen_Cat_Grain_Free_Chicken_and_Potato_8_kg.jpg,,
Pienso Zen Cat Grain Free Salmón y Patata,Zen Free Grain,pienso-gatos,gato,8 kg,58.90,,Alimento completo para gatos en edad adulta.,Zen Cat Grain Free salmón y patata. Alimento completo para gatos en edad adulta. Sin cereales. 33% salmón fresco. Sin cereales. Formato de 8 kg.,"Salmón fresco (33%), salmón deshidratado, patata, aceites y grasas, hidrolizado de salmón, levaduras, harina de garrofa, proteína de patata, pulpa de remolacha, fibras vegetales. Polisfato de sodio. Insulina (FOS 0,1%). Manano-oligosacáridos, (MOS), Cloruro de potasio, yucca schidigera, extractos de cítricos.",https://dapac.es/3664-large_default/Zen_Cat_Grain_Free_salmon_y_patata_8_kg.jpg,,
Paté Zen Pavo Fresco Monoproteico,Zen Paté,humeda-perros,perro,400 g,3.30,,Máxima Digestibilidad y Control de Alergias (400g).,"• Alimento completo para tu perro
• Proteína Blanca Limpia: 97% pavo fresco, ideal para sustituir al pollo en perros con sensibilidades.
• Ligero y Saludable: Bajo en grasas saturadas y enriquecido con un 3% de aceite de oliva.
• Seguridad Alimentaria: Grain Free, Gluten Free y sin ningún tipo de aditivo artificial.
• Hidratación y Sabor: Formato paté de alta palatabilidad"," Pavo fresco (97%), Aceite de oliva (3%). Sin azúcares añadidos.",https://dapac.es/5849-large_default/ZEN-400g-CAN-PAT-MONO-Turkey-DOG.jpg,,
Paté Zen Ternera Fresca Monoproteico,Zen Paté,humeda-perros,perro,400 g,3.30,,Energía y Vitalidad Muscular (400g).,"• Alimento completo para tu perro
• Poder de la Carne Roja: 97% ternera fresca para un aporte superior de hierro y proteína de alta calidad.
• Alto Rendimiento: Especialmente indicada para perros activos que requieren una recuperación muscular eficiente.
• Sabor Irresistible: Aroma natural e intenso que conquista a los paladares más exigentes.
• Máxima Seguridad: Sin cereales, sin gluten y sin aditivos artificiales para una digestión sin riesgos.
• Blister 12 uds. ","Ternera fresca (97%), Aceite de oliva (3%). Sin azúcares añadidos.",https://dapac.es/5853-large_default/ZEN-400g-CAN-PAT-MONO-Veal-DOG.jpg,,
Paté Zen Conejo Fresco Monoproteico,Zen Paté,humeda-perros,perro,400 g,3.30,,La Solución Hipoalergénica Definitiva (400g).,"• Alimento completo para tu perro
• Monoproteica: Elaborado con un 97% de conejo fresco como única fuente de proteína animal. Sin mezclas ni trazas.
• Efecto Antiinflamatorio: Enriquecido con un 3% de aceite de oliva, ideal para cuidar la piel y mejorar la digestión.
• 100% Libre de Alérgenos: Receta Grain Free, Gluten Free y sin colorantes ni conservantes artificiales.
• Dieta de Exclusión: La mejor herramienta para perros con alergias severas, dermatitis o estómagos ultra sensibles.
• Proteína de descarte: Al ser una carne poco común, el conejo minimiza el riesgo de reacciones alérgicas previas.
• Blister 12 uds. "," Conejo fresco (97%), Aceite de oliva (3%). Sin colorantes ni azúcares añadidos.",https://dapac.es/5848-large_default/ZEN-400g-CAN-PAT-MONO-Rabbit-DOG.jpg,,
Paté Zen Cordero Fresco Monoproteico,Zen Paté,humeda-perros,perro,400 g,3.30,,Nutrición Densa y Sabor Irresistible (400g).,"• Alimento completo para tu perro
• Energía Natural: 97% cordero fresco, aportando las calorías necesarias para perros activos o en recuperación.
• Hipoalergénico Clásico: Una sola fuente de proteína para evitar alergias alimentarias y problemas de piel.
• Palatabilidad Superior: Aroma intenso que conquista a los perros más exigentes con la comida.
• Cuidado Digestivo: Receta Grain Free con aceite de oliva para una asimilación rápida y heces firmes.
• Blister 12 uds. "," Cordero fresco (97%), Aceite de oliva (3%). Sin colorantes ni azúcares añadidos.",https://dapac.es/5851-large_default/ZEN-400g-CAN-PAT-MONO-Lamb-DOG.jpg,,
Paté Zen Pollo Fresco Monoproteico,Zen Paté,humeda-perros,perro,400 g,3.30,,El aliado de la Digestión (400g).,"• Máxima Asimilación: 97% pollo fresco, la proteína más recomendada para dietas blandas y estómagos sensibles.
• Control Total: Una única fuente de proteína animal para eliminar riesgos de intolerancias cruzadas.
• Naturalmente Sano: Sin cereales, sin gluten y enriquecido con un 3% de aceite de oliva.
• Cuidado Muscular: Proteína de alto valor biológico para mantener la vitalidad y la masa magra.","Pollo fresco (97%), Aceite de oliva (3%). Sin colorantes ni azúcares añadidos.",https://dapac.es/5852-large_default/ZEN-400g-CAN-PAT-MONO-Chicken-DOG.jpg,,
Paté Zen Salmón Fresco Monoproteico,Zen Paté,humeda-perros,perro,400 g,3.30,,Brillo y Salud Articular (400g).,"• Concentrado de Omega-3: 97% salmón fresco que actúa como antiinflamatorio natural para piel y articulaciones.
• Proteína Alternativa: La opción más segura para perros con alergias severas a carnes comunes.
• Pelo Radiante: Con un 3% de aceite de oliva para un pelaje suave, fuerte y sin picores.
• Hipoalergénico Total: Grain Free, Gluten Free y sin colorantes ni aromatizantes artificiales.","Salmón fresco (97%), Aceite de oliva (3%). Sin colorantes ni azúcares añadidos.",https://dapac.es/5850-large_default/ZEN-400g-CAN-PAT-MONO-Salmon-DOG.jpg,,
Pienso Sum Sum Pavo y Patata,Sum Sum,pienso-perros,perro,12 kg,42.90,,DOG#1 Sum Sum Grain Free – Pavo & Patata (12 kg).,"• Monoproteico de Pavo (40% deshidratado + 10% fresco después de extrusión): Alta digestibilidad con un 77% de proteína de origen animal.
• Sin Cereales ni Gluten: Con patata como fuente de energía hipoalergénica para estómagos sensibles.
• Super Life Complex (19%): Incluye condroprotectores (glucosamina/condroitina) y superalimentos.
• Calidad KM-0: Fabricado en España con ingredientes frescos de proximidad.
• Garantía Profesional: Receta formulada por veterinarios expertos en nutrición canina.","Pavo deshidratado (46%), patata (15%), pavo fresco tras extrusión (10%), aceite de cerdo ibérico (10%), Super Life Complex 19%: remolacha, algarroba, manzana, arándanos, huevo, espirulina, espinaca, bayas de goji, aceites esenciales de orégano, té verde, condroitina 600 mg/kg, colágeno, glucosamina 900 mg/kg, levaduras, vitaminas, MOS, FOS, oligoelementos.",https://dapac.es/5982-large_default/dog-1-sum-sum-grain-free-exclusive-pavo-y-patata-12kg-arroyo.jpg,,
